fec;pet;eur;oro;dol;c18;c36;ibe
301218;53.39;3761.5;1329.83;3249.75;47.888;51.982;8549.05
311218;53.8;3725;1312.5;3249.75;48;52;8539.9
10119;54.24;3722.5;1283.35;3249.75;48.133;52.261;8562.57
20119;54.91;3674;1315.3;3249.75;48.282;52.71;8550
30119;55.95;3696.5;1326.1;3250.01;48.438;53.267;8523.3
40119;57.06;3638.5;1317.4;3241.2;48.595;53.854;8737.8
50119;57.34;3638.5;1316.26;3208.56;48.746;54.391;8825.56
60119;57.18;3643.5;1320.68;3208.56;48.883;54.799;8788.49
70119;57.33;3651.5;1321.5;3208.56;49;55;8776.3
80119;58.72;3605.5;1317.4;3208.56;49.09;54.941;8847.3
90119;61.44;3619.5;1323.5;3164.75;49.152;54.674;8823.6
100119;61.68;3608.5;1319.2;3128.07;49.184;54.28;8856.8
110119;60.48;3600;1321.3;3136.49;49.186;53.836;8877.1
120119;59.19;3600;1324.88;3151.49;49.156;53.422;8860.92
130119;58.49;3597.5;1325.96;3151.49;49.095;53.117;8832.34
140119;58.99;3603;1323.3;3151.49;49;53;8818.6
150119;60.64;3585;1319.7;3143.22;48.873;53.127;8850.1
160119;61.32;3554;1325.1;3137.66;48.723;53.458;8912.7
170119;61.18;3569;1323.6;3124.96;48.561;53.932;8908.6
180119;62.7;3550;1313.8;3140.19;48.396;54.485;9069.1
190119;63.72;3550;1298.72;3120.56;48.241;55.056;9148.75
200119;63.66;3550.5;1282.05;3120.56;48.105;55.582;9119.81
210119;62.74;3553.5;1279.05;3120.56;48;56;9053.8
220119;61.5;3573.5;1314.2;3120.56;47.933;56.264;9037.5
230119;61.14;3587;1315.2;3136.59;47.9;56.388;9128.8
240119;61.09;3585;1310.8;3146.14;47.894;56.404;9150
250119;61.64;3595.5;1329.1;3160.52;47.908;56.343;9185.2
260119;61.05;3595.5;1337.34;3150.58;47.935;56.234;9147.8
270119;59.99;3597;1335.15;3150.58;47.968;56.11;9076.58
280119;59.93;3608.5;1334.5;3150.58;48;56;9062.4
